card_number,expiry_date,card_provider,date_payment_confirmed
4537509987455280000,2032-02-01,VISA 19 digit,2022-09-24
3540126062083770,2032-09-01,JCB 16 digit,2021-04-27
3565388078802970,2032-03-01,JCB 16 digit,2016-10-28
30280604114274,2032-04-01,Diners Club / Carte Blanche,2005-04-22
6011662146447830,2032-09-01,Discover,2013-04-22
2244479907474760,2032-04-01,Mastercard,1995-04-27
2310820813218710,2032-07-01,Mastercard,1994-07-23
4466560959453,2032-01-01,VISA 13 digit,1998-03-16
3517287513574020,2032-06-01,JCB 16 digit,1993-03-25
3507036246815300,2032-05-01,JCB 16 digit,2003-12-03
4150158657691,2032-05-01,VISA 13 digit,2002-07-08
3583218047699840,2032-06-01,JCB 16 digit,2004-11-04
4540308816293220000,2032-02-01,VISA 19 digit,2009-12-31
4338477003933360,2032-02-01,VISA 16 digit,2013-04-24
4511109856138500000,2032-09-01,VISA 19 digit,2002-08-26
630438408647,2032-06-01,Maestro,2006-02-05
4990470214162050,2032-08-01,VISA 16 digit,2017-12-12
3505441583959840,2032-09-01,JCB 16 digit,2006-04-30
180058410855191,2032-08-01,JCB 15 digit,2019-11-30
3584024672800320,2032-10-01,JCB 16 digit,2020-07-01
3585822148520500,2032-04-01,JCB 16 digit,2008-09-22
3551892480176750,2032-11-01,JCB 16 digit,1998-04-10
4528527933252070,2032-08-01,VISA 16 digit,2009-07-12
6543550264501500,2032-01-01,Discover,1996-04-16
3537216664039270,2032-05-01,JCB 16 digit,2018-09-08
4214248522321,2032-01-01,VISA 13 digit,2006-04-01
30535888793394,2032-07-01,Diners Club / Carte Blanche,2013-09-21
3570296014307760,2032-08-01,JCB 16 digit,2017-12-08
4331856967112130,2032-11-01,VISA 16 digit,2016-11-06
4007356983297,2032-03-01,VISA 13 digit,2005-07-04
4105389207283640000,2032-01-01,VISA 19 digit,1992-12-15
6011967640156280,2032-01-01,Discover,2022-11-18
4312271503232,2032-05-01,VISA 13 digit,2001-09-14
30333881297971,2032-10-01,Diners Club / Carte Blanche,1999-01-23
372115384818155,2032-09-01,American Express,2011-08-24
2291399544685470,2032-07-01,Mastercard,2013-04-16
4160710799971000,2032-01-01,VISA 16 digit,2014-04-05
6011061367133790,2032-05-01,Discover,2004-08-16
3564801145122920,2032-05-01,JCB 16 digit,2019-04-12
4928733591799760000,2032-01-01,VISA 19 digit,2009-11-30
4372561896579620000,2032-01-01,VISA 19 digit,2003-10-21
30419423025325,2032-10-01,Diners Club / Carte Blanche,2009-03-22
4884404539964140000,2032-10-01,VISA 19 digit,2018-08-15
3511533650478220,2032-08-01,JCB 16 digit,2011-12-05
6534445002439680,2032-11-01,Discover,1995-11-07
3592433154512560,2032-08-01,JCB 16 digit,2006-07-27
4249134380208500,2032-07-01,VISA 16 digit,1996-04-12
375218328411231,2032-05-01,American Express,1994-12-16
3517311159528850,2032-10-01,JCB 16 digit,2003-02-18
4969337258861380,2032-04-01,VISA 16 digit,2001-09-29
4322101074312,2032-03-01,VISA 13 digit,1994-04-11
4287673521091,2032-10-01,VISA 13 digit,2002-11-17
374125710818892,2032-05-01,American Express,2009-08-15
4706675806056850,2032-08-01,VISA 16 digit,1999-10-04
2266880902560620,2032-07-01,Mastercard,2005-07-26
30346547458811,2032-02-01,Diners Club / Carte Blanche,2014-02-10
4115801086731420,2032-06-01,VISA 16 digit,2012-06-11
213178201826754,2032-01-01,JCB 15 digit,2021-10-19
4843483230851600,2032-04-01,VISA 16 digit,2002-11-06
6523447822202100,2032-06-01,Discover,2021-01-03
4707442026569,2032-11-01,VISA 13 digit,2003-03-28
4922962266731,2032-07-01,VISA 13 digit,2006-03-19
4917181456535,2032-09-01,VISA 13 digit,2019-05-23
4424327820138,2032-08-01,VISA 13 digit,1996-05-15
30221876403524,2032-10-01,Diners Club / Carte Blanche,2014-05-21
4380531303878910,2032-01-01,VISA 16 digit,2001-06-30
213185215584501,2032-03-01,JCB 15 digit,1999-10-04
3524572103378320,2032-04-01,JCB 16 digit,1997-10-20
4112072534997290000,2032-05-01,VISA 19 digit,1995-01-22
6573670958946070,2032-09-01,Discover,2005-02-26
4749056042863770000,2032-09-01,VISA 19 digit,2021-11-25
4749775206408790,2032-01-01,VISA 16 digit,2001-03-26
379026978508818,2032-03-01,American Express,2011-07-23
4736525777197480000,2032-02-01,VISA 19 digit,2008-01-09
30497457631390,2032-10-01,Diners Club / Carte Blanche,2003-04-15
341558117859020,2032-03-01,American Express,1997-12-07
4241195154378,2032-09-01,VISA 13 digit,2015-09-12
38945966556609,2032-03-01,Diners Club / Carte Blanche,2011-09-13
4616315244509520,2032-07-01,VISA 16 digit,1995-05-03
347482220631719,2032-10-01,American Express,2012-05-22
6011465543695250,2032-04-01,Discover,2020-10-26
4201445313141680,2032-03-01,VISA 16 digit,2018-08-01
4516078223676460000,2032-04-01,VISA 19 digit,2002-03-22
571560412264,2032-09-01,Maestro,1999-03-18
213106243563937,2032-02-01,JCB 15 digit,1999-02-24
5413848227405660,2032-01-01,Mastercard,2008-10-01
4996345067883,2032-06-01,VISA 13 digit,2001-08-15
4252299704422,2032-10-01,VISA 13 digit,2015-06-20
180062134213265,2032-01-01,JCB 15 digit,2015-05-06
370280460218845,2032-10-01,American Express,2015-07-10
2720774643370160,2032-02-01,Mastercard,1994-10-02
38044054963750,2032-01-01,Diners Club / Carte Blanche,2002-01-22
3597981604743810,2032-08-01,JCB 16 digit,2021-11-23
2241198134108920,2032-04-01,Mastercard,1993-10-01
180023513924047,2032-07-01,JCB 15 digit,2003-06-13
